CAPE TOWN,-33.9222,18.4251
WOODSTOCK,-33.9253,18.4459
SALT RIVER,-33.9275,18.4646
OBSERVATORY,-33.9384,18.4715
MOWBRAY,-33.9464,18.4739
ROSEBANK,-33.954712,18.472982
RONDEBOSCH,-33.9619273722,18.4723024207
NEWLANDS,-33.9742,18.4674
CLAREMONT,-33.9817,18.4672
HARFIELD RD,-33.988613,18.471471
KENILWORTH,-33.995277,18.472927
WYNBERG,-34.00477,18.4713
WITTEBOME,-34.01348,18.47102
PLUMSTEAD,-34.021635,18.46978
STEURHOF,-34.029093,18.468907
DIEPRIVIER,-34.0353,18.4672
HEATHFIELD,-34.0457,18.4657
RETREAT,-34.059781,18.463099
STEENBERG,-34.076651,18.463760
LAKESIDE,-34.088437,18.462422
FALSE BAY,-34.1024978846,18.468794811
MUIZENBERG,-34.1096,18.4680
ST JAMES,-34.11921,18.45829
KALK BAY,-34.12614,18.45019
FISH HOEK,-34.1371,18.4324
SUNNY COVE,-34.144068,18.436729
GLENCAIRN,-34.163453474413785,18.43191268542913
SIMON`S TOWN,-34.1868,18.4252
KOEBERG RD,-33.925608077663775,18.478861834873047
MAITLAND,-33.92457057432458,18.486945350275573
NDABENI,-33.9291870569,18.4950477282
PINELANDS,-33.939523165724204,18.490685758662302
HAZENDAL,-33.9531075748,18.5024413405
ATHLONE,-33.9629066272,18.5015906079
CRAWFORD,-33.9765923556,18.5016528224
LANSDOWNE,-33.9874933253,18.5038714401
WETTON,-34.00187619767472,18.501133986672258
OTTERY,-34.01365,18.49566
SOUTHFIELD,-34.03284068402321,18.48189575268337
ESPLANADE,-33.9235999020585,18.446048579475473
YSTERPLAAT,-33.91983595133337,18.47678368459777
WOLTEMADE,-33.921997804463544,18.50744037791185
MUTUAL,-33.9208813300611,18.514548558731814
THORNTON,-33.918827800942985,18.532440043496393
GOODWOOD,-33.91445528782284,18.547380125133287
VASCO,-33.9104837228379,18.55880861284104
ELSIES RIVER,-33.91036815753121,18.569190539413604
PAROW,-33.90954655108376,18.58578927316224
TYGERBERG,-33.90725173888327,18.601248297083895
BELLVILLE,-33.906245650938104,18.626626648913778
KUILS RIVER,-33.93319571041179,18.677718545858845
BLACKHEATH,-33.96409583805871,18.701509043082776
MELTONROSE,-33.98891222305062,18.72034553911473
EERSTE RIVER,-34.00066106549047,18.730967218594895
FAURE,-34.02611595139534,18.74697555291197
FIRGROVE,-34.057109089872746,18.795826548752657
SOMERSET WEST,-34.08430879707693,18.841412104726153
VAN DER STEL,-34.09511174836021,18.85241339034936
STRAND,-34.11486221377654,18.83253431960452
LYNEDOCH,-33.980963707306486,18.771448167797754
VLOTTENBURG,-33.96206348211405,18.80000207277261
STELLENBOSCH,-33.938880701617485,18.849725959767152
DU TOIT,-33.923377710839794,18.854165375803223
KOELENHOF,-33.873771890336656,18.81951212067691
MULDERSVLEI,-33.830953269112726,18.828170859889674
STIKLAND,-33.90396303632682,18.657395820083835
BRACKENFELL,-33.880816639556514,18.688211641653623
EIKENFONTEIN,-33.856924434317676,18.71136406371034
KRAAIFONTEIN,-33.846817190557694,18.724494259706827
KLAPMUTS,-33.806006959524595,18.870218719399816
PAARL,-33.765160041553,18.96555606389428
HUGUENOT,-33.729728470316836,18.976707467312274
DAL JOSAFAT,-33.70470384717203,18.981301434242084
MBEKWENI,-33.67492262945576,18.985451981244182
WELLINGTON,-33.634556952955805,18.991867412533036
KENTEMADE,-33.912944908377845,18.497745933980486
CENTURY CITY,-33.90098027843088,18.511647654229726
AKASIA PARK,-33.894682284502785,18.528631984329596
MONTE VISTA,-33.89155713234865,18.54839345856858
DE GRENDEL,-33.89340281249491,18.57869093514975
AVONDALE,-33.89750811325182,18.593066949550202
OOSTERZEE,-33.89988979919397,18.607302801575898
FISANTKRAAL,-33.7851105569563,18.71217708280647
MELLISH,-33.76213775797755,18.718308063345873
MIKPUNT,-33.721781161676454,18.708640257949586
KLIPHEUWEL,-33.69850718050175,18.70109860142255
WINTERVOGEL,-33.62777605497418,18.670853913833795
KALBASKRAAL,-33.571229074284425,18.64857771073931
ABBOTSDALE,-33.492356822251054,18.681939997244307
MALMESBURY,-33.46771519437588,18.72249876616927
MALAN,-33.578763489347715,18.98308570069046
SOETENDAL,-33.50905368688194,18.981702083752733
HERMON,-33.43732116294928,18.968670260510347
VOELVLEI,-33.3634486881347,19.016659168403873
GOUDA,-33.30146373799263,19.04162708190481
TULBAGHWEG,-33.320436909582206,19.099981602255017
ARTOIS,-33.36838745708442,19.16494844584136
WOLSELEY,-33.634473067132696,18.991825537322924
ROMANS RIVER,-33.47334149992124,19.201897081986093
BREE RIVER,-33.52352965379416,19.20887209407622
BOTHA,-33.565923140233664,19.25610897306316
GOUDINI RD,-33.60730816599714,19.316903847085765
CHAVONNES,-33.62508090780316,19.37552440281894
WORCESTER,-33.639234540281166,19.441109897337
PAARDENEILAND,-33.9216595109511,18.465229855019615
LANGA,-33.93883389247823,18.52993313604359
BONTEHEUWEL,-33.94177936281412,18.54991949807399
NETREG,-33.952353006128845,18.56373485648683
HEIDEVELD,-33.969323874281464,18.56165191290795
NYANGA,-33.99230294562565,18.560100604437658
PHILIPPI,-34.01331547795559,18.584728659948713
LENTEGEUR,-34.03410588713693,18.611301139678574
MITCHELLS PL.,-34.05033776204879,18.619157656873863
KAPTEINSKLIP,-34.06763690229872,18.62057018197253
STOCK ROAD,-34.01397848680267,18.606320356876676
MANDALAY,-34.018801690603745,18.62457272674085
NOLUNGILE,-34.01682070945139,18.649023618514256
NONKQUBELA,-34.02670557979582,18.663160909452962
KHAYELITSHA,-34.04793371475273,18.67075327396007
KUYASA,-34.055245768931655,18.691923921142017
CHRIS HANI,-34.054561503252735,18.70913659920562
LAVISTOWN,-33.94313606706766,18.583690126184166
BELHAR,-33.938661962114494,18.608610969434334
UNIBELL,-33.9359560073065,18.628523689512146
PENTECH,-33.933534816977016,18.646290641998025
SAREPTA,-33.92634935074289,18.661340468511014
